itemId,order,prompt,dimension,domain,coding
coup_rel_06,1,ההפגנות נגד הרפורמה המשפטית עשויות להשפיע על מצבי הכלכלי,relevance,economics,positive
coup_rel_16,2,צריך להגן על מוסדות הדמוקרטיה הישראלית מפני התערבויות של המערכת הפוליטית,attitude,civics,against
coup_rel_01,3,יש לי דברים יותר חשובים להתעסק בהם מאשר הרפורמה המשפטית,relevance,general,negative
coup_rel_02,4,הרפורמה המשפטית תשפיע עלי באופן אישי,relevance,general,positive
coup_rel_14,5,"בשביל שהממשלה תוכל לשפר את חיי האזרחים, צריך לרסן את מערכת המשפט",attitude,civics,for
coup_rel_08,6,הפוליטיקאים שמקדמים את הרפורמה המשפטית בסך הכל דומים לאנשים שאני מכיר,attitude,general,for
coup_rel_12,7,אני מאוד חושש ממצב שבו הרפורמה המשפטית תעבור,attitude,general,against
coup_rel_09,8,אני חש גאווה כשאני חושב על מדינת ישראל לאחר הרפורמות,attitude,general,for
coup_rel_05,9,"הרפורמה מעניינת את הפוליטיקאים בלבד, ולא נוגעת לאדם הפשוט",relevance,general,negative
coup_rel_11,10,אני מזדהה עם המוחים נגד הרפורמה המשפטית,attitude,general,against
coup_rel_13,11,יש צורך לשנות מהיסוד את מערכת המשפט הישראלית,attitude,civics,for
coup_rel_20,12,אני מאוד חושש/ת שללא הרפורמה המשפטית ישראל תהפוך למדינה שאינה יהודית,attitude,religion,for
coup_rel_03,13,הרפורמה המשפטית תשפיע על חיי משפחתי והאנשים הקרובים לי,relevance,general,positive
coup_rel_15,14,"ללא הרפורמה, המערכת המשפטית לא מייצגת את רצון רוב העם",attitude,civics,for
coup_rel_04,15,אני לא צופה שינויים מהותיים בחיי היומיום שלי בעקבות הרפורמה המשפטית,relevance,general,negative
coup_rel_17,16,מערכת משפט עצמאית היא הכרחית לשמירה על הזכויות שלי,attitude,civics/general,against
coup_rel_19,17,אני מודאג/ת מאוד מהשפעת הרפורמה המשפטית על המצב הכלכלי שלי,attitude,economics,against
coup_rel_10,18,יוזמי הרפורמה המשפטית מונעים מאינטרסים אישיים ולא מדאגה לטובת הציבור,attitude,general,against
coup_rel_18,19,אני צופה שינוי לטובה במצבי הכלכלי אם הרפורמה המשפטית תיושם,attitude,economics,for
coup_rel_07,20,הרפורמה המשפטית והתגובה לה עשויות להשפיע על יחסי עם בני משפחתי,relevance,family,positive
